tile_id,tile_name,image_path,metadata_path,valid_mask_path,source,crs,col_off,row_off,width,height,valid_ratio
0,Astana_1_tile_00000,data/tiles/astana/Astana_1/images/Astana_1_tile_00000.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00000.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00000_valid.png,Astana_1.tif,EPSG:4326,0,0,1024,1024,1.0
1,Astana_1_tile_00001,data/tiles/astana/Astana_1/images/Astana_1_tile_00001.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00001.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00001_valid.png,Astana_1.tif,EPSG:4326,896,0,1024,1024,1.0
2,Astana_1_tile_00002,data/tiles/astana/Astana_1/images/Astana_1_tile_00002.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00002.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00002_valid.png,Astana_1.tif,EPSG:4326,1792,0,1024,1024,1.0
3,Astana_1_tile_00003,data/tiles/astana/Astana_1/images/Astana_1_tile_00003.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00003.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00003_valid.png,Astana_1.tif,EPSG:4326,2688,0,1024,1024,1.0
4,Astana_1_tile_00004,data/tiles/astana/Astana_1/images/Astana_1_tile_00004.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00004.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00004_valid.png,Astana_1.tif,EPSG:4326,3584,0,1024,1024,1.0
5,Astana_1_tile_00005,data/tiles/astana/Astana_1/images/Astana_1_tile_00005.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00005.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00005_valid.png,Astana_1.tif,EPSG:4326,4480,0,1024,1024,1.0
6,Astana_1_tile_00006,data/tiles/astana/Astana_1/images/Astana_1_tile_00006.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00006.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00006_valid.png,Astana_1.tif,EPSG:4326,5376,0,1024,1024,1.0
7,Astana_1_tile_00007,data/tiles/astana/Astana_1/images/Astana_1_tile_00007.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00007.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00007_valid.png,Astana_1.tif,EPSG:4326,6272,0,1024,1024,1.0
8,Astana_1_tile_00008,data/tiles/astana/Astana_1/images/Astana_1_tile_00008.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00008.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00008_valid.png,Astana_1.tif,EPSG:4326,7168,0,1024,1024,1.0
9,Astana_1_tile_00009,data/tiles/astana/Astana_1/images/Astana_1_tile_00009.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00009.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00009_valid.png,Astana_1.tif,EPSG:4326,8064,0,1024,1024,1.0
10,Astana_1_tile_00010,data/tiles/astana/Astana_1/images/Astana_1_tile_00010.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00010.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00010_valid.png,Astana_1.tif,EPSG:4326,8960,0,1024,1024,1.0
11,Astana_1_tile_00011,data/tiles/astana/Astana_1/images/Astana_1_tile_00011.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00011.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00011_valid.png,Astana_1.tif,EPSG:4326,9856,0,753,1024,1.0
12,Astana_1_tile_00012,data/tiles/astana/Astana_1/images/Astana_1_tile_00012.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00012.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00012_valid.png,Astana_1.tif,EPSG:4326,0,896,1024,1024,1.0
13,Astana_1_tile_00013,data/tiles/astana/Astana_1/images/Astana_1_tile_00013.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00013.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00013_valid.png,Astana_1.tif,EPSG:4326,896,896,1024,1024,1.0
14,Astana_1_tile_00014,data/tiles/astana/Astana_1/images/Astana_1_tile_00014.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00014.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00014_valid.png,Astana_1.tif,EPSG:4326,1792,896,1024,1024,1.0
15,Astana_1_tile_00015,data/tiles/astana/Astana_1/images/Astana_1_tile_00015.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00015.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00015_valid.png,Astana_1.tif,EPSG:4326,2688,896,1024,1024,1.0
16,Astana_1_tile_00016,data/tiles/astana/Astana_1/images/Astana_1_tile_00016.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00016.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00016_valid.png,Astana_1.tif,EPSG:4326,3584,896,1024,1024,1.0
17,Astana_1_tile_00017,data/tiles/astana/Astana_1/images/Astana_1_tile_00017.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00017.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00017_valid.png,Astana_1.tif,EPSG:4326,4480,896,1024,1024,1.0
18,Astana_1_tile_00018,data/tiles/astana/Astana_1/images/Astana_1_tile_00018.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00018.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00018_valid.png,Astana_1.tif,EPSG:4326,5376,896,1024,1024,1.0
19,Astana_1_tile_00019,data/tiles/astana/Astana_1/images/Astana_1_tile_00019.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00019.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00019_valid.png,Astana_1.tif,EPSG:4326,6272,896,1024,1024,1.0
20,Astana_1_tile_00020,data/tiles/astana/Astana_1/images/Astana_1_tile_00020.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00020.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00020_valid.png,Astana_1.tif,EPSG:4326,7168,896,1024,1024,1.0
21,Astana_1_tile_00021,data/tiles/astana/Astana_1/images/Astana_1_tile_00021.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00021.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00021_valid.png,Astana_1.tif,EPSG:4326,8064,896,1024,1024,1.0
22,Astana_1_tile_00022,data/tiles/astana/Astana_1/images/Astana_1_tile_00022.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00022.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00022_valid.png,Astana_1.tif,EPSG:4326,8960,896,1024,1024,1.0
23,Astana_1_tile_00023,data/tiles/astana/Astana_1/images/Astana_1_tile_00023.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00023.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00023_valid.png,Astana_1.tif,EPSG:4326,9856,896,753,1024,1.0
24,Astana_1_tile_00024,data/tiles/astana/Astana_1/images/Astana_1_tile_00024.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00024.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00024_valid.png,Astana_1.tif,EPSG:4326,0,1792,1024,1024,1.0
25,Astana_1_tile_00025,data/tiles/astana/Astana_1/images/Astana_1_tile_00025.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00025.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00025_valid.png,Astana_1.tif,EPSG:4326,896,1792,1024,1024,1.0
26,Astana_1_tile_00026,data/tiles/astana/Astana_1/images/Astana_1_tile_00026.png,data/tiles/astana/Astana_1/metadata/Astana_1_tile_00026.json,data/tiles/astana/Astana_1/valid_masks/Astana_1_tile_00026_valid.png,Astana_1.tif,EPSG:4326,1792,1792,1024,1024,1.0
